PollID,Time,Pollster,Yes,No,DK,lYes-1,lNo-1,lDK-1,lYes-2,lNo-2,lDK-2,lYes-3,lNo-3,lDK-3,lYes-p,lNo-p,lDK-p,IndyrefWeight,PastScotElectWeight,PastBritElectWeight,DataCollect,Franchise
103,1910,14,0.46,0.47,0.06,0.38,0.48,0.12,0.44,0.5,0.06,0.48,0.48,0.04,0.41,0.51,0.07,1,0,1,1,2
104,1952,14,0.45,0.45,0.1,0.46,0.47,0.06,0.38,0.48,0.12,0.44,0.5,0.06,0.46,0.47,0.06,1,1,1,2,2
105,1957,16,0.43,0.42,0.12,0.45,0.45,0.1,0.46,0.47,0.06,0.38,0.48,0.12,0.38,0.48,0.12,1,0,1,2,2
106,1961,10,0.49,0.46,0.06,0.43,0.42,0.12,0.45,0.45,0.1,0.46,0.47,0.06,0.44,0.5,0.06,1,0,1,2,2
107,1975,16,0.45,0.46,0.08,0.49,0.46,0.06,0.43,0.42,0.12,0.45,0.45,0.1,0.43,0.42,0.12,1,0,1,2,1
108,2016,10,0.46,0.47,0.07,0.45,0.46,0.08,0.49,0.46,0.06,0.43,0.42,0.12,0.49,0.46,0.06,1,0,1,2,2
109,2056,10,0.46,0.46,0.07,0.46,0.47,0.07,0.45,0.46,0.08,0.49,0.46,0.06,0.46,0.47,0.07,1,0,1,2,2
110,2087,10,0.48,0.45,0.07,0.46,0.46,0.07,0.46,0.47,0.07,0.45,0.46,0.08,0.46,0.46,0.07,1,0,1,2,2
111,2101,10,0.5,0.43,0.07,0.48,0.45,0.07,0.46,0.46,0.07,0.46,0.47,0.07,0.48,0.45,0.07,1,0,1,2,2
112,2115,10,0.5,0.43,0.07,0.5,0.43,0.07,0.48,0.45,0.07,0.46,0.46,0.07,0.5,0.43,0.07,1,0,1,2,2
113,2153,16,0.46,0.4,0.13,0.5,0.43,0.07,0.5,0.43,0.07,0.48,0.45,0.07,0.45,0.46,0.08,1,0,1,2,2
114,2156,12,0.49,0.42,0.09,0.46,0.4,0.13,0.5,0.43,0.07,0.5,0.43,0.07,NA,NA,NA,1,1,0,2,2
115,2161,10,0.51,0.42,0.07,0.49,0.42,0.09,0.46,0.4,0.13,0.5,0.43,0.07,0.5,0.43,0.07,1,0,1,2,2
116,2181,14,0.46,0.4,0.13,0.51,0.42,0.07,0.49,0.42,0.09,0.46,0.4,0.13,0.45,0.45,0.1,1,1,1,2,2
117,2195,7,0.51,0.4,0.09,0.46,0.4,0.13,0.51,0.42,0.07,0.49,0.42,0.09,NA,NA,NA,1,0,0,2,2
118,2213,6,0.55,0.39,0.06,0.51,0.4,0.09,0.46,0.4,0.13,0.51,0.42,0.07,0.48,0.48,0.04,0,0,0,1,2
119,2213,12,0.47,0.42,0.11,0.55,0.39,0.06,0.51,0.4,0.09,0.46,0.4,0.13,0.49,0.42,0.09,1,1,0,2,2
120,2238,14,0.47,0.4,0.13,0.47,0.42,0.11,0.55,0.39,0.06,0.51,0.4,0.09,0.46,0.4,0.13,1,1,1,2,2
121,2245,16,0.43,0.42,0.13,0.47,0.4,0.13,0.47,0.42,0.11,0.55,0.39,0.06,0.46,0.4,0.13,1,0,1,2,2
122,2246,10,0.51,0.4,0.08,0.43,0.42,0.13,0.47,0.4,0.13,0.47,0.42,0.11,0.51,0.42,0.07,1,0,1,2,2
123,2261,6,0.53,0.41,0.06,0.51,0.4,0.08,0.43,0.42,0.13,0.47,0.4,0.13,0.55,0.39,0.06,0,0,0,1,2
124,2274,14,0.44,0.42,0.14,0.53,0.41,0.06,0.51,0.4,0.08,0.43,0.42,0.13,0.47,0.4,0.13,1,1,1,2,2
125,2280,12,0.49,0.39,0.12,0.44,0.42,0.14,0.53,0.41,0.06,0.51,0.4,0.08,0.47,0.42,0.11,1,1,0,2,2
126,2309,14,0.45,0.43,0.12,0.49,0.39,0.12,0.44,0.42,0.14,0.53,0.41,0.06,0.44,0.42,0.14,1,1,1,2,2
127,2309,12,0.47,0.43,0.1,0.45,0.43,0.12,0.49,0.39,0.12,0.44,0.42,0.14,0.49,0.39,0.12,1,1,0,2,2
128,2318,10,0.49,0.44,0.07,0.47,0.43,0.1,0.45,0.43,0.12,0.49,0.39,0.12,0.51,0.4,0.08,1,0,1,2,1
129,2336,12,0.43,0.46,0.11,0.49,0.44,0.07,0.47,0.43,0.1,0.45,0.43,0.12,0.47,0.43,0.1,1,1,0,2,2
130,2348,6,0.48,0.44,0.07,0.43,0.46,0.11,0.49,0.44,0.07,0.47,0.43,0.1,0.53,0.41,0.06,0,0,0,1,2
131,2349,12,0.48,0.44,0.08,0.48,0.44,0.07,0.43,0.46,0.11,0.49,0.44,0.07,0.43,0.46,0.11,0,1,0,2,2
132,2353,14,0.43,0.44,0.12,0.48,0.44,0.08,0.48,0.44,0.07,0.43,0.46,0.11,0.45,0.43,0.12,1,1,1,2,2
133,2356,4,0.52,0.41,0.08,0.43,0.44,0.12,0.48,0.44,0.08,0.48,0.44,0.07,NA,NA,NA,0,0,0,2,2
134,2359,12,0.43,0.45,0.11,0.52,0.41,0.08,0.43,0.44,0.12,0.48,0.44,0.08,0.48,0.44,0.08,1,1,0,2,1
135,2360,12,0.43,0.46,0.1,0.43,0.45,0.11,0.52,0.41,0.08,0.43,0.44,0.12,0.43,0.45,0.11,1,1,0,2,2
136,2360,10,0.46,0.47,0.07,0.43,0.46,0.1,0.43,0.45,0.11,0.52,0.41,0.08,0.49,0.44,0.07,1,0,1,2,2
137,2363,16,0.41,0.43,0.13,0.46,0.47,0.07,0.43,0.46,0.1,0.43,0.45,0.11,0.43,0.42,0.13,1,0,1,2,2
138,2364,4,0.5,0.43,0.08,0.41,0.43,0.13,0.46,0.47,0.07,0.43,0.46,0.1,0.52,0.41,0.08,0,0,0,2,2
139,2365,12,0.45,0.47,0.08,0.5,0.43,0.08,0.41,0.43,0.13,0.46,0.47,0.07,0.43,0.46,0.1,1,1,0,2,2
140,2371,9,0.45,0.43,0.12,0.45,0.47,0.08,0.5,0.43,0.08,0.41,0.43,0.13,NA,NA,NA,0,0,1,2,2
141,2373,14,0.43,0.45,0.12,0.45,0.43,0.12,0.45,0.47,0.08,0.5,0.43,0.08,0.43,0.44,0.12,1,1,1,2,2
142,2374,1,0.49,0.46,0.05,0.43,0.45,0.12,0.45,0.43,0.12,0.45,0.47,0.08,0.43,0.45,0.12,1,0,1,2,2
143,2381,3,0.41,0.37,0.22,0.49,0.46,0.05,0.43,0.45,0.12,0.45,0.43,0.12,NA,NA,NA,1,0,1,2,2
144,2385,14,0.45,0.44,0.11,0.41,0.37,0.22,0.49,0.46,0.05,0.43,0.45,0.12,0.43,0.45,0.12,1,1,1,2,2
145,2387,10,0.48,0.47,0.05,0.45,0.44,0.11,0.41,0.37,0.22,0.49,0.46,0.05,0.46,0.47,0.07,1,0,1,2,2
146,2390,6,0.49,0.45,0.06,0.48,0.47,0.05,0.45,0.44,0.11,0.41,0.37,0.22,0.48,0.44,0.07,0,0,0,1,2
147,2392,9,0.47,0.45,0.07,0.49,0.45,0.06,0.48,0.47,0.05,0.45,0.44,0.11,0.45,0.43,0.12,0,0,1,2,2
148,2393,12,0.45,0.45,0.09,0.47,0.45,0.07,0.49,0.45,0.06,0.48,0.47,0.05,0.45,0.47,0.08,1,1,0,2,2
149,2398,10,0.48,0.46,0.06,0.45,0.45,0.09,0.47,0.45,0.07,0.49,0.45,0.06,0.48,0.47,0.05,1,0,1,2,2
150,2405,8,0.44,0.45,0.09,0.48,0.46,0.06,0.45,0.45,0.09,0.47,0.45,0.07,0.46,0.43,0.12,1,0,1,2,2
151,2406,12,0.45,0.48,0.08,0.44,0.45,0.09,0.48,0.46,0.06,0.45,0.45,0.09,0.45,0.45,0.09,1,1,0,2,2
152,2406,16,0.39,0.45,0.14,0.45,0.48,0.08,0.44,0.45,0.09,0.48,0.46,0.06,0.41,0.43,0.13,1,0,1,2,2
153,2408,14,0.44,0.45,0.11,0.39,0.45,0.14,0.45,0.48,0.08,0.44,0.45,0.09,0.45,0.44,0.11,1,1,1,2,2
154,2409,14,0.44,0.46,0.1,0.44,0.45,0.11,0.39,0.45,0.14,0.45,0.48,0.08,0.44,0.45,0.11,1,1,1,2,2
155,2412,14,0.42,0.47,0.11,0.44,0.46,0.1,0.44,0.45,0.11,0.39,0.45,0.14,0.44,0.46,0.1,1,1,1,2,2
156,2412,10,0.47,0.48,0.06,0.42,0.47,0.11,0.44,0.46,0.1,0.44,0.45,0.11,0.48,0.46,0.06,1,0,1,2,2
157,2413,12,0.42,0.49,0.08,0.47,0.48,0.06,0.42,0.47,0.11,0.44,0.46,0.1,0.45,0.48,0.08,1,1,0,2,2
158,2416,1,0.47,0.47,0.07,0.42,0.49,0.08,0.47,0.48,0.06,0.42,0.47,0.11,0.49,0.46,0.05,1,0,1,2,2
159,2416,10,0.48,0.45,0.06,0.47,0.47,0.07,0.42,0.49,0.08,0.47,0.48,0.06,0.47,0.48,0.06,1,0,1,2,2
160,2419,6,0.47,0.47,0.06,0.48,0.45,0.06,0.47,0.47,0.07,0.42,0.49,0.08,0.49,0.45,0.06,0,0,0,1,2
161,2419,9,0.45,0.45,0.1,0.47,0.47,0.06,0.48,0.45,0.06,0.47,0.47,0.07,0.47,0.45,0.07,0,0,1,2,2
162,2420,14,0.43,0.47,0.1,0.45,0.45,0.1,0.47,0.47,0.06,0.48,0.45,0.06,0.42,0.47,0.11,1,1,1,2,2
163,2420,16,0.41,0.46,0.11,0.43,0.47,0.1,0.45,0.45,0.1,0.47,0.47,0.06,0.39,0.45,0.14,1,0,1,2,2
164,2420,12,0.42,0.5,0.08,0.41,0.46,0.11,0.43,0.47,0.1,0.45,0.45,0.1,0.42,0.49,0.08,1,1,0,2,2
165,2424,13,0.48,0.48,0.04,0.42,0.5,0.08,0.41,0.46,0.11,0.43,0.47,0.1,NA,NA,NA,0,0,1,2,2
166,2430,12,0.43,0.49,0.08,0.48,0.48,0.04,0.42,0.5,0.08,0.41,0.46,0.11,0.42,0.5,0.08,1,1,0,2,2
167,2471,10,0.45,0.48,0.07,0.43,0.49,0.08,0.48,0.48,0.04,0.42,0.5,0.08,0.48,0.45,0.06,1,0,1,2,2
168,2513,11,0.44,0.47,0.09,0.45,0.48,0.07,0.43,0.49,0.08,0.48,0.48,0.04,NA,NA,NA,0,1,1,2,2
169,2547,13,0.45,0.49,0.06,0.44,0.47,0.09,0.45,0.48,0.07,0.43,0.49,0.08,0.48,0.48,0.04,0,0,1,2,1
170,2547,9,0.44,0.43,0.13,0.45,0.49,0.06,0.44,0.47,0.09,0.45,0.48,0.07,0.45,0.45,0.1,0,0,1,2,2
171,2548,12,0.45,0.47,0.1,0.44,0.43,0.13,0.45,0.49,0.06,0.44,0.47,0.09,0.43,0.49,0.08,1,1,0,2,2
172,2549,10,0.45,0.49,0.06,0.45,0.47,0.1,0.44,0.43,0.13,0.45,0.49,0.06,0.45,0.48,0.07,1,0,1,2,2
173,2557,11,0.44,0.47,0.09,0.45,0.49,0.06,0.45,0.47,0.1,0.44,0.43,0.13,0.44,0.47,0.09,0,1,1,2,2
174,2595,10,0.44,0.5,0.05,0.44,0.47,0.09,0.45,0.49,0.06,0.45,0.47,0.1,0.45,0.49,0.06,1,0,1,2,2
175,2597,12,0.45,0.48,0.07,0.44,0.5,0.05,0.44,0.47,0.09,0.45,0.49,0.06,0.45,0.47,0.1,1,1,0,2,2
176,2612,10,0.45,0.47,0.08,0.45,0.48,0.07,0.44,0.5,0.05,0.44,0.47,0.09,0.44,0.5,0.05,1,0,1,2,1
177,2622,16,0.4,0.46,0.13,0.45,0.47,0.08,0.45,0.48,0.07,0.44,0.5,0.05,0.41,0.46,0.11,1,0,1,2,2
178,2629,6,0.52,0.43,0.04,0.4,0.46,0.13,0.45,0.47,0.08,0.45,0.48,0.07,0.47,0.47,0.06,0,0,0,1,2
179,2652,9,0.44,0.44,0.12,0.52,0.43,0.04,0.4,0.46,0.13,0.45,0.47,0.08,0.44,0.43,0.13,0,0,1,2,1
180,2679,12,0.46,0.46,0.08,0.44,0.44,0.12,0.52,0.43,0.04,0.4,0.46,0.13,0.45,0.48,0.07,1,1,0,2,2
181,2696,10,0.46,0.47,0.07,0.46,0.46,0.08,0.44,0.44,0.12,0.52,0.43,0.04,0.45,0.47,0.08,1,0,1,2,2
182,2720,12,0.45,0.46,0.08,0.46,0.47,0.07,0.46,0.46,0.08,0.44,0.44,0.12,0.46,0.46,0.08,1,1,0,2,2
183,2736,12,0.44,0.49,0.07,0.45,0.46,0.08,0.46,0.47,0.07,0.46,0.46,0.08,0.45,0.46,0.08,1,1,0,2,2
184,2748,14,0.42,0.47,0.11,0.44,0.49,0.07,0.45,0.46,0.08,0.46,0.47,0.07,0.43,0.47,0.1,0,0,0,2,2
185,2751,1,0.43,0.49,0.08,0.42,0.47,0.11,0.44,0.49,0.07,0.45,0.46,0.08,0.47,0.47,0.07,1,0,1,2,1
186,2751,16,0.39,0.44,0.17,0.43,0.49,0.08,0.42,0.47,0.11,0.44,0.49,0.07,0.4,0.46,0.13,1,0,1,2,2
187,2780,10,0.45,0.47,0.08,0.39,0.44,0.17,0.43,0.49,0.08,0.42,0.47,0.11,0.46,0.47,0.07,1,0,1,2,2
188,2784,12,0.45,0.47,0.07,0.45,0.47,0.08,0.39,0.44,0.17,0.43,0.49,0.08,0.44,0.49,0.07,1,1,0,2,2
189,2804,16,0.38,0.46,0.13,0.45,0.47,0.07,0.45,0.47,0.08,0.39,0.44,0.17,0.39,0.44,0.17,1,0,1,2,2
190,2810,6,0.45,0.46,0.08,0.38,0.46,0.13,0.45,0.47,0.07,0.45,0.47,0.08,0.52,0.43,0.04,0,0,0,1,2
191,2840,12,0.44,0.46,0.1,0.45,0.46,0.08,0.38,0.46,0.13,0.45,0.47,0.07,0.45,0.47,0.07,1,1,0,2,2
192,2843,10,0.48,0.47,0.05,0.44,0.46,0.1,0.45,0.46,0.08,0.38,0.46,0.13,0.45,0.47,0.08,1,0,1,2,2
193,2890,10,0.46,0.48,0.06,0.48,0.47,0.05,0.44,0.46,0.1,0.45,0.46,0.08,0.48,0.47,0.05,1,0,1,2,2
194,2920,2,0.42,0.47,0.11,0.46,0.48,0.06,0.48,0.47,0.05,0.44,0.46,0.1,NA,NA,NA,0,0,0,2,1
195,2938,12,0.45,0.46,0.08,0.42,0.47,0.11,0.46,0.48,0.06,0.48,0.47,0.05,0.44,0.46,0.1,1,1,0,2,2
196,2938,16,0.43,0.45,0.1,0.45,0.46,0.08,0.42,0.47,0.11,0.46,0.48,0.06,0.38,0.46,0.13,1,0,1,2,2
197,2941,10,0.47,0.47,0.06,0.43,0.45,0.1,0.45,0.46,0.08,0.42,0.47,0.11,0.46,0.48,0.06,1,0,1,2,2
198,2944,10,0.46,0.49,0.05,0.47,0.47,0.06,0.43,0.45,0.1,0.45,0.46,0.08,0.47,0.47,0.06,1,0,1,2,2
199,2990,16,0.46,0.45,0.09,0.46,0.49,0.05,0.47,0.47,0.06,0.43,0.45,0.1,0.43,0.45,0.1,1,0,1,2,2
200,2992,11,0.49,0.45,0.05,0.46,0.45,0.09,0.46,0.49,0.05,0.47,0.47,0.06,0.44,0.47,0.09,0,1,1,2,2
201,3000,6,0.53,0.42,0.04,0.49,0.45,0.05,0.46,0.45,0.09,0.46,0.49,0.05,0.45,0.46,0.08,0,0,0,1,2
202,3003,3,0.51,0.43,0.06,0.53,0.42,0.04,0.49,0.45,0.05,0.46,0.45,0.09,0.41,0.37,0.22,0,1,1,2,1
203,3004,16,0.47,0.43,0.08,0.51,0.43,0.06,0.53,0.42,0.04,0.49,0.45,0.05,0.46,0.45,0.09,1,0,1,2,2
204,3011,10,0.49,0.45,0.06,0.47,0.43,0.08,0.51,0.43,0.06,0.53,0.42,0.04,0.46,0.49,0.05,1,0,1,2,2
